2025-12-11 11:13:41.455 [taskExecutor-8] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/acfun
2025-12-11 11:13:41.455 [taskExecutor-8] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/acfun 执行结束，耗时 399 ms
2025-12-11 11:13:41.503 [taskExecutor-5] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/topys
2025-12-11 11:13:41.503 [taskExecutor-5] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/topys 执行结束，耗时 357 ms
2025-12-11 11:13:41.609 [taskExecutor-10] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/shengmingshibao
2025-12-11 11:13:41.609 [taskExecutor-10] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/shengmingshibao 执行结束，耗时 204 ms
2025-12-11 11:13:41.610 [taskExecutor-4] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/21jingjiwang
2025-12-11 11:13:41.610 [taskExecutor-4] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/21jingjiwang 执行结束，耗时 219 ms
2025-12-11 11:13:41.610 [taskExecutor-15] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/tencent/dongman
2025-12-11 11:13:41.610 [taskExecutor-15] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/tencent/dongman 执行结束，耗时 197 ms
2025-12-11 11:13:41.635 [taskExecutor-3] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/guojikejichuangxinzhongxin/yiyaojiankang
2025-12-11 11:13:41.635 [taskExecutor-3] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/guojikejichuangxinzhongxin/yiyaojiankang 执行结束，耗时 841 ms
2025-12-11 11:13:41.636 [taskExecutor-2] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/guojikejichuangxinzhongxin/rengongzhineng
2025-12-11 11:13:41.636 [taskExecutor-2] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/guojikejichuangxinzhongxin/rengongzhineng 执行结束，耗时 819 ms
2025-12-11 11:13:41.637 [taskExecutor-18] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/tengxunshejikaifangpingtai
2025-12-11 11:13:41.637 [taskExecutor-18] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/tengxunshejikaifangpingtai 执行结束，耗时 463 ms
2025-12-11 11:13:41.673 [taskExecutor-6] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/17173
2025-12-11 11:13:41.673 [taskExecutor-6] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/17173 执行结束，耗时 377 ms
2025-12-11 11:13:41.678 [taskExecutor-9] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/3dmgame
2025-12-11 11:13:41.678 [taskExecutor-9] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/3dmgame 执行结束，耗时 430 ms
2025-12-11 11:13:41.734 [taskExecutor-17] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/tuyawangguo/new
2025-12-11 11:13:41.735 [taskExecutor-17] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/tuyawangguo/new 执行结束，耗时 315 ms
2025-12-11 11:13:41.736 [taskExecutor-7] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/tonghuashun
2025-12-11 11:13:41.736 [taskExecutor-7] INFO  c.t.c.schedule.ControllerApiSchedule - 🕒🕒🕒 接口 /api/topsearch/tonghuashun 执行结束，耗时 301 ms
2025-12-11 11:13:41.757 [taskExecutor-1] INFO  com.tgmeng.common.util.CacheUtil - 🎁新增缓存:/api/topsearch/chuangyebang
